"y" "norm_noise01" "norm_noise02" "norm_noise03" "norm_noise04" "norm_noise05" "norm_noise06" "norm_noise07" "norm_noise08" "norm_noise09" "norm_noise10" "diff_distrib01" "diff_distrib02" "biDistrib"
"1" "A" -5.20442747508393 1.27240803753174 -0.570508610287146 -8.95015337715105 -1.0825740247103 -2.87580829234323 -9.16709764105077 -5.45382620369826 1.79989667617211 4.6770811426876 12.7872325679907 7.58404933438963 -0.230430925423837
"2" "A" 2.22520979145226 0.963792839411778 -3.25084731766176 -5.65331220612759 3.69206337902587 -5.65273476159935 -5.79526847323237 -3.40815872233033 -3.79675423954898 0.847009981730214 1.63808743761933 3.55737371292327 0.863863127815036
"3" "A" -3.95561269787564 -0.884751452327685 -3.42413785799495 -15.7170733667513 7.75229353986738 -0.403178262229512 -7.46046877008755 -2.18091365651122 -1.55145654546397 2.15693106107875 6.28316001140418 5.9364478149876 1.82579083166517
"4" "A" -3.71148912003768 1.88952432739292 -4.29848771802911 -6.16477845019862 2.99812577413144 -0.945258529014785 -6.09013674814666 -7.1757076922401 1.9919302419038 0.241357889205856 4.41087063025745 5.65616968267028 -1.17412464922931
"5" "A" 2.87459353649539 -0.374586489229749 -3.75548138184949 -1.76794752001572 5.81014646924316 -0.988178230019194 -8.57769529156115 -6.70831114126798 2.66832174007862 2.65486073091528 5.50708170756225 4.57690197249077 -0.487926187358255
"6" "A" -2.33416294275626 -3.07678613974759 2.53021376849784 1.6686055041141 6.78261257850033 -0.247094978321396 0.229394388102688 -6.68116923531649 2.83643492905055 3.17097608587225 5.61852417897238 4.11468013844879 -0.161937557596972
"7" "A" -9.5025279036791 0.863776155076139 -2.24225888294012 -1.49118237473339 5.9589623646164 1.3278931415807 -4.9350493641043 -0.689597682170339 4.13371843844662 3.52646497437334 1.51922200258028 6.56042695996331 -0.58908969414543
"8" "A" -7.1011009711688 4.8395534201978 -1.7572303676583 -3.82713703772096 7.37367973532013 -0.272044315639933 -1.62783877238784 -1.93007825684033 1.71448434718578 0.0935136237975869 5.77828293094545 2.24409176834729 1.41958303929636
"9" "A" -6.09938204641488 0.266684399999527 -1.40889054401003 -14.4835337597764 4.52544800674598 -2.21511534918502 -12.7735971947659 -3.06971935310297 5.0700142142261 2.47452992687379 9.80661752566058 3.88619421849688 0.00707165024398937
"10" "A" 0.835432068430999 3.88775763794416 1.35893590723047 -9.65534566797223 3.45743277642928 -2.49489537549638 -6.26040809818771 -7.46777307131517 -0.0180484913399872 3.67689580869628 4.54065768312537 2.92951230713033 -1.16454708532897
"11" "A" -2.75406341975831 -2.92359894866026 -3.53559382180951 -8.58494426705692 -4.7259816400582 -1.06957004490312 -6.93426404025977 -4.87780568274123 -0.701489164225363 1.63250203741236 4.54385934354641 6.34345782658984 0.36243123491955
"12" "A" -2.58395737634344 1.85728829818716 -4.86925869579578 -4.05562953674938 4.63471195213614 -0.0252240720938055 -8.59384165570215 -4.75999194294213 -0.75042234210167 1.83808893669586 8.84147547686091 4.43163746599705 0.609364748525194
"13" "A" -3.78875986802497 3.61676232576471 2.59960468543305 -7.52778075161308 6.55524381612109 -3.21555426057349 -0.197987856889585 -10.4253103167728 3.94504595397542 2.01693983535591 7.46487271919093 4.02906521860543 1.85678547377811
"14" "A" -6.55698041633199 2.94887961758312 -3.32593127873856 -12.4750559336743 6.94107168764568 -1.19368062423968 -9.17696859912964 -13.1174088609019 1.97943284456237 2.42589885331215 0.455222319985938 8.49963439307037 -0.103752135998829
